English,Russian,Ru-Abbreviation,En-Abbreviation
left ventricle basal anteroseptal segment,базальный переднеперегородочный сегмент левого желудочка,базальный переднеперегородочный сегмент,
left ventricle basal inferior segment,нижний базальный сегмент левого желудочка,нижний базальный сегмент,
left ventricle basal inferolateral segment,базальный нижнебоковой сегмент левого желудочка,базальный нижнебоковой сегмент,
left ventricle basal inferoseptal segment,базальный нижнеперегородочный сегмент левого желудочка,базальный нижнеперегородочный,
Left Ventricle diastolic major axis,Длинная ось левого желудочка (диастола),Длинная ось левого желудочка (диастола),
"Left Ventricle Epicardial Diastolic Area, psax pap view",Эпикардиальная площадь по короткой оси на уровне сосочковых мышц (диастола),,
Left Ventricle Internal End Diastolic Dimension,Конечно-диастолический размер левого желудока,,
Left Ventricle Internal Systolic Dimension,Систолический размер левого желудочка,,
Left Ventricle Mass,Масса левого желудочка,Масса ЛЖ,
Left Ventricle Mass by M-mode,Масса левого желудочка в М-режиме,,
left ventricle mid anterior segment,средний передний сегмент левого желудочка,,
left ventricle mid anterolateral segment,средний переднебоковой сегмент левого желудочка,,
left ventricle mid anteroseptal segment,средний переднеперегородочный сегмент левого желудочка,,
left ventricle mid inferior segment,средний нижний сегмент левого желудочка,,
left ventricle mid inferolateral segment,средний нижнебоковой сегмент левого желудочка,,
left ventricle mid inferoseptal segment,средний нижнеперегородочный сегмент левого желудочка,,
Left Ventricle Outflow Tract,Выносящий тракт левого желудочка,,
Left Ventricle Posterior Wall % Thickening,"Задняя стенка левого желудочка, % утолщения",,
Left Ventricle Posterior Wall Diastolic Thickness,"Толщина задней стенки левого желудочка, диастола",ЗСЛЖ (д),
Left Ventricle Posterior Wall Systolic Thickness,"Толщина задней стенки левого желудочка, систола",ЗСЛЖ (с),
Left Ventricle Pre Ejection Period,Период предызгнания левого желудочка,,
Left Ventricle systolic major axis,Длинная ось левого желудочка (систола),,
Left Ventricular Diastolic Area,Площадь левого желудочка (диастола),,
Left Ventricular Ejection Fraction,Фракция выброса левого желудочка,ФВ ЛЖ,
Left Ventricular End Diastolic Volume,Конечно-диастолический объем левого желудочка,КДО ЛЖ,
Left Ventricular End Systolic Volume,Конечно-систолический объем левого желудочка,КСО ЛЖ,
Left Ventricular Fractional Shortening,Фракция укорочения левого желудочка,,
Left Ventricular Isovolumic Contraction Time,Время изоволюмического сокращения левого желудочка,,
Left Ventricular Isovolumic Relaxation Time,Время изоволюмического расслабления левого желудочка,,
"Left Ventricular Major Axis Diastolic Dimension, 2-chamber view",Длинная ось левого желудочка в диастолу (2-камерная позиция),,
"Left Ventricular Major Axis Diastolic Dimension, 4-chamber view",Длинная ось левого желудочка в диастолу (4-камерная позиция),,
"Left Ventricular Major Axis Systolic Dimension, 2-chamber view",Длинная ось левого желудочка в систолу (2-камерная позиция),,
"Left Ventricular Major Axis Systolic Dimension, 4-chamber view",Длинная ось левого желудочка в систолу (4-камерная позиция),,
Left ventricular Pre-ejection time/Ejection time,Время предызгнания / время изгнания левого желудочка,,
Left Ventricular Systolic Area,Систолическая площадь левого желудочка,,
LV Wall Motion Score Index,Индекс локальной сократимости левого желудочка,,
M mode,M-режим,,
m/s,м/с,,
m/s2,м/с²,,
Main Pulmonary Artery Diameter,Диаметр ствола легочной артерии,,
Major Axis,Длинная ось,,
Mean,Среднее,,
Mean Gradient,Средний градиент,,
Mean value chosen,Выбрано среднее значение,,
Mean Velocity,Средняя скорость,,
Mean Velocity of Circumferencial Fibe Shortening (Mean VcFv),Средняя скорость циркулярного укорочения (среднее VcFv),,
measurement,измерение,,
Measurement Group,Группа измерений,,
Measurement Method,Методика измерения,,
Medial Mitral Annulus,Медиальная часть кольца митрального клапана,,
"Method of Disks, Biplane",Метод дисков в двух плоскостях,,
"Method of Disks, Single Plane",Метод дисков в одной плоскости,,
Minor Axis,Короткая ось,,
Mitral Annular Plane Systolic Excursion (MAPSE),Систолический подъем кольца митрального клапана (MAPSE),,
Mitral Annulus,Кольцо митрального клапана,,
Mitral Regurgitation dP/dt derived from Mitral Reg. velocity,dP/dt митральной регургитации,,
Mitral Valve,Митральный клапан,,
Mitral Valve (prosthetics),Митральный клапан (протез),,
Mitral Valve A-Wave Duration,Продолжительность волны А трансмитрального кровотока,,
Mitral Valve A-Wave Peak Velocity,Скорость A-волны митрального клапана,,
Mitral Valve D-E Excursion,Экскурсия митрального клапана в М-режиме (D-E),,
Mitral Valve E to A Ratio,Отношение E/A трансмитрального кровотока,,
Mitral Valve E-F Slope by M-Mode,Наклон E-F (митральный клапан в M-режиме),,
Mitral Valve E-Wave Peak Velocity,Скорость E-волны митрального клапана,,
Mitral Valve Ejection Time,Продолжительность трансмитрального кровотока ,,
"Mitral Valve EPSS, E wave",Митрально-септальная сепарация в точке Е (EPSS),EPSS,
ml,мл,,
mm[Hg],мм рт. ст.,,
mm[Hg]/s,мм рт. ст./с,,
Most recent value chosen,Выбрано последнее значение,,
ms,мс,,
Myocardial Wall,Стенка миокарда,,
Normal wall motion,Нормокинез,,
Not Visualized,Не визуализируется,,
Parasternal short axis,Парастернальная короткая ось,,
Parasternal short axis at the Mitral Valve level,Парастернальная короткая ось на уровне митрального клапана,,
Parasternal short axis at the Papillary Muscle level,Парастернальная короткая ось на уровне сосочковых мышц,,
Patent Ductus Arteriosus,Открытый артериальный проток,,
Patent Foramen Ovale,Открытое овальное окно,,
Peak Gradient,Пиковый градиент,,
Peak Tissue Velocity,Тканевая скорость,,
Peak Velocity,Пиковая скорость,Vmax,
Pericardial effusion,Перикардиальный выпот,,
Planimetry,Планиметрия,,
Postductal region of aortic arch,Постдуктальная часть дуги аорты,,
Preductal region of aortic arch,Предуктальная область дуги аорты,,
Pressure Half-Time,Время полуспада градиента давления,,
Procedure reported,Выполненная процедура,,
Proximal Isovelocity Surface Area,Площадь поверхности равных скоростей (PISA),PISA,
Pulmonary Artery,Легочная артерия,,
Pulmonary Vein A-Wave Duration,Продолжительность волны A кровотока в легочных венах,Adur (PV),
Pulmonary Vein Atrial Contraction Reversal Peak Velocity,Амплитуда волны A кровотока в легочных венах,A (PV),
Pulmonary Vein D-Wave Velocity Time Integral,Интеграл волны D кровотока в легочных венах,D-VTI (PV),
Pulmonary Vein Diastolic Peak Velocity,Волна D кровотока в легочных венах,D (PV),
Pulmonary Vein S-Wave Velocity Time Integral,Интеграл волны S кровотока в легочных венах,S-VTI (PV),
Pulmonary Vein Systolic Peak Velocity,Волна S кровотока в легочных венах,S (PV),
Pulmonary Vein Systolic to Diastolic Ratio,Соотношение S/D кровотока в легочных венах,S/D (PV),
Pulmonary Venous Structure,Легочные вены,,
Pulmonary-to-Systemic Shunt Flow Ratio,Отношение легочного кровотока к системному (Qp:Qs),Qp:Qs,
Pulmonic Valve,Клапан легочной артерии,,
Pulmonic Valve Ejection Time,Продолжительность изгнания на клапане легочной артерии,,
Ratio of Pulmonic Valve Acceleration Time to Ejection Time,Отношение времени ускорения кровотока к времени изгнания на клапане легочной артерии (AT/ET),PV AT/ET,
Regurgitant Flow,Поток регургитации,,
Respiratory Cycle Point,Момент дыхательного цикла,,
Right Atrium,Правое предсердие,,
Right Atrium Area on Apical four chamber view,Площадь правого предсердия (4-камерная позиция),,
Right Atrium End Diastolic volume,Конечно-диастолический объем правого предсердия,,
Right Atrium End Systolic volume,Конечно-систолический объем правого предсердия,,
"Right Atrium Superior-Inferior Dimension, 4-chamber view",Верхне-нижний размер правого предсердия (4-камерная позиция),,
Right Atrium Systolic Area,Площадь правого предсердия (систола),,
Right Atrium Systolic Pressure,Систолическое давление в правом предсердии,,
Right to left cardiovascular shunt,Сброс крови справа налево,,
Right Ventricle,Правый желудочек,,
Right Ventricle Outflow Tract,Выносящий тракт правого желудочка,ВТПЖ,
Right Ventricle Pre Ejection Period,Период предызгнания правого желудочка,,
Right Ventricular Anterior Wall Diastolic Thickness,Толщина передней стенки правого желудочка в диастолу,ПС ПЖ (Д),
"Right ventricular base Minor Axis at end diastole, 4-chamber view",Малая ось правого желудочка на уровне основания в диастолу (4-камерная позиция),,
Right ventricular fractional area change by US 2D,Фракция изменения площади правого желудочка,,
Right Ventricular Peak Systolic Pressure,Систолическая давление в правом желудочке,,
Right ventricular Pre-ejection time/Ejection time,Отношение времени предызгнания к времени изгнания правого желудочка,,
Scarred Myocardium,Рубец,,
Selection Status,Выбор,,
Sinus of Valsalva,Синус Вальсальвы,,
Stroke Volume,Ударный объем,УО,
Superior Vena Cava % Collapse,"Спадение верхней полой вены, %",,
Systole,Систола,,
Teichholz,Метод Тейхольца,,
Time duration of the VTI trace on Aortic Valve,Продолжительность интеграла кровотока на аортальном клапане,,
Time duration of the VTI trace on LVOT,Продолжительность интеграла кровотока в выносящем тракте левого желудочка,,
Time duration of the VTI trace on Pulmonic Valve,Продолжительность интеграла кровотока на клапане легочной артерии,,
Time duration of the VTI trace on RVOT,Продолжительность интеграла кровотока в выносящем тракте правого желудочка,,
Time from Q wave to Pulmonic Valve Closes,Время от зубца Q до закрытия клапана легочной артерии,,
Time from Q wave to Tricuspid Valve Opens,Время от зубца Q до открытия трехстворчатого клапана,,
Tricuspid Annular Plane Systolic Excursion (TAPSE),Систолический подъем кольца трехстворчатого клапана (TAPSE）,TAPSE,
Tricuspid Annulus,Кольцо трехстворчатого клапана,Кольцо ТК,
Tricuspid Valve,Трехстворчатый клапан,,
Units,Единицы,,
Value,Значение,Значение,
Valve C-E distance by US,Расстояние между точками C и E,,
Velocity Time Integral,Интеграл скорости по времени (VTI),VTI,
Vena Cava,Полая вена,,
Ventricular Aneurysm,Аневризма желудочка,Аневризма желудочка,
Ventricular Septal Defect,Дефект межжелудочковой перегородки,,
Wall Segment,Сегмент стенки желудочка,,
Peak Instantaneous Flow Rate,Максимальная скорость кровотока,,
Flow Radius,Радиус потока,,
Alias Velocity,Предел Найквиста,,
Volume Flow,Объем,,
Body Surface Area,Площадь поверхности тела,,
Subject Age,Возраст,,
Patient Height,Рост,,
Patient Weight,Вес,,
Systolic Blood Pressure,Систолическое АД,,
Diastolic Blood Pressure,Диастолическое АД,,
Doppler Color Flow,Цветное допплеровское исследование,,
Stroke Index,Индекс ударного объема,,
Cardiac Index,Сердечный индекс,,
Doppler Continuous Wave,Постоянно-волновое допплеровское исследование,CW,
